identificador,p_desercion,resultado_modelo
133285,0.5546,Deserta
133284,0.4626,No deserta
133279,0.0775,No deserta
133286,0.1741,No deserta
133283,0.9278,Deserta
133281,0.0873,No deserta
133293,0.0424,No deserta
133294,0.1196,No deserta
133295,0.8863,Deserta
133289,0.8436,Deserta
133290,0.0454,No deserta
133292,0.7733,Deserta
133311,0.8915,Deserta
133305,0.8618,Deserta
133304,0.8453,Deserta
133310,0.7276,Deserta
133297,0.1074,No deserta
133298,0.0605,No deserta
133300,0.1004,No deserta
133307,0.0991,No deserta
133309,0.1021,No deserta
133312,0.9511,Deserta
133314,0.0547,No deserta
133313,0.4239,No deserta
133321,0.1728,No deserta
133318,0.7987,Deserta
133322,0.2401,No deserta
133463,0.8811,Deserta
133472,0.8372,Deserta
133551,0.6572,Deserta
133555,0.3768,No deserta
133561,0.1302,No deserta
133568,0.5183,Deserta
133570,0.8796,Deserta
133558,0.0609,No deserta
133560,0.0774,No deserta
133567,0.7619,Deserta
133566,0.1053,No deserta
133557,0.1029,No deserta
133575,0.8299,Deserta
133574,0.2013,No deserta
133572,0.954,Deserta
133576,0.7344,Deserta
133571,0.1851,No deserta
133573,0.7594,Deserta
133738,0.9092,Deserta
133730,0.8789,Deserta
133731,0.7754,Deserta
133735,0.0627,No deserta
133740,0.9017,Deserta
133741,0.3765,No deserta
133742,0.1321,No deserta
133746,0.7436,Deserta
133745,0.2282,No deserta
133743,0.6773,Deserta
133744,0.5462,Deserta
133747,0.0495,No deserta
133808,0.0753,No deserta
133972,0.3265,No deserta
133973,0.8885,Deserta
133974,0.0711,No deserta
133978,0.8982,Deserta
133976,0.3014,No deserta
133975,0.9035,Deserta
134015,0.0897,No deserta
134167,0.8715,Deserta
134164,0.1052,No deserta
134163,0.1909,No deserta
134162,0.8781,Deserta
134165,0.0519,No deserta
134166,0.8293,Deserta
134170,0.8572,Deserta
134236,0.773,Deserta
134248,0.0613,No deserta
134249,0.8865,Deserta
134257,0.9002,Deserta
134256,0.1928,No deserta
134255,0.8943,Deserta
134250,0.0462,No deserta
134251,0.1184,No deserta
134261,0.9593,Deserta
134262,0.9641,Deserta
134490,0.8559,Deserta
134487,0.0759,No deserta
134488,0.9512,Deserta
134489,0.2907,No deserta
134494,0.8932,Deserta
134495,0.889,Deserta
134499,0.2427,No deserta
134502,0.905,Deserta
